Dept_Code,Department_Name,SubDept_Code,SubDepartment_Name,Prog_Code,Program_Name,Program_Priority,Source_Fund_Code,Source_Fund_Name,Account_Code,Account_Name,Appropriation,Fiscal_Year,Expense_Type
,Judgment Obligation Bonds Debt Service Fund*,JOB,Judgment Obligation Bonds Debt Service Fund,,,,,,,,7295480,2010,
,Liability Claims,59,Liability Claims,,,,,,,,4.10E+07,2010,
46,Mayor,46LVL5,Mayor,,,,,,,,25712647,2010,
47,Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,,,,,,,,3320540,2010,
,Non-Departmental General,62OTHER,Non-Departmental General,,,,,,,,629911195,2010,
66,Personnel,66LVL5,Personnel,,,,,,,,60937193,2010,
70,Police,70LVL5,Police,,,,,,,,1166229399,2010,
,Proposition A Local Transit Assistance Fund*,S26,Proposition A Local Transit Assistance Fund,,,,,,,,174141850,2010,
,Proposition C Anti-Gridlock Transit Improvement Fund*,S27,Proposition C Anti-Gridlock Transit Improvement Fund,,,,,,,,28264774,2010,
74,Public Works - Board of Public Works,74LVL5,Board of Public Works,,,,,,,,18046507,2010,
76,Public Works - Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,,,,,,,,31768758,2010,
78,Public Works - Bureau of Engineering,78LVL5,Bureau of Engineering,,,,,,,,80871054,2010,
82,Public Works - Bureau of Sanitation,82LVL5,Bureau of Sanitation,,,,,,,,264533523,2010,
84,Public Works - Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,,,,,,,,20745321,2010,
86,Public Works - Bureau of Street Services,86LVL5,Bureau of Street Services,,,,,,,,138685069,2010,
,Reserve Funds*,58,Reserve Funds,,,,,,,,60467038,2010,
,Special Parking Revenue Fund*,S11,Special Parking Revenue Fund,,,,,,,,34062709,2010,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,Debt Service/ Financing,,,,,,665527709,2010,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,,,,,,,665527709,2010,
94,Transportation,94LVL5,Transportation,,,,,,,,133677205,2010,
,Treasurer*,Archived,Treasurer,,,,,,,,3859834,2010,
,Wastewater Special Purpose Fund*,S14,Wastewater Special Purpose Fund,,,,,,,,429280600,2010,
,Water and Electricity*,60,Water and Electricity,,,,,,,,51674102,2010,
87,Zoo,87LVL5,Zoo,,,,,,,,18261512,2010,
2,Aging,02LVL5,Aging,,,,,,,,3729795,2011,
6,Animal Services,06LVL5,Animal Services,,,,,,,,20350643,2011,
8,Building and Safety,08LVL5,Building and Safety,,,,,,,,62216641,2011,
,Capital Finance Administration*,53,Capital Finance Administration,,,,,,,,219201682,2011,
54,Capital Improvement Expenditure Program*,54M,Capital Improvement Expenditure Program,,,,,,,,186123485,2011,
10,City Administrative Officer,10LVL5,City Administrative Officer,,,,,,,,11086499,2011,
12,City Attorney,12LVL5,City Attorney,,,,,,,,85897183,2011,
14,City Clerk,14LVL5,City Clerk,,,,,,,,23886207,2011,
68,City Planning,68LVL5,City Planning,,,,,,,,26431869,2011,
26,Controller,26LVL5,Controller,,,,,,,,13821800,2011,
48,Convention and Tourism Development,48LVL5,Convention and Tourism Development,,,,,,,,20450000,2011,
28,Council,28LVL5,Council,,,,,,,,20830279,2011,
30,Cultural Affairs,30LVL5,Cultural Affairs,,,,,,,,7709028,2011,
,Debt Service*,S36,Bond Redemption and Interest,,,,,,,,174545768,2011,
65,Disability,65LVL5,Disability,,,,,,,,1598796,2011,
22,Economic and Workforce Development,22LVL5,Economic and Workforce Development,,,,,,,,25103186,2011,
33,El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,,,,,,,,1535857,2011,
35,Emergency Management,35LVL5,Emergency Management,,,,,,,,1577852,2011,
36,Employee Relations Board,36LVL5,Employee Relations Board,,,,,,,,372953,2011,
17,Ethics Commission,17LVL5,City Ethics Commission,,,,,,,,2159578,2011,
39,Finance,39LVL5,Finance,,,,,,,,25183127,2011,
38,Fire,38LVL5,Fire,,,,,,,,495009381,2011,
,General City Purposes*,56,General City Purposes,,,,,,,,91779871,2011,
40,General Services,40LVL5,General Services,,,,,,,,219276288,2011,
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,,,,,,,,51447726,2011,
,Human Resources Benefits,61,Human Resources Benefits,,,,,,,,545731165,2011,
32,Information Technology Agency,32LVL5,Information Technology Agency,,,,,,,,80168459,2011,
,Judgment Obligation Bonds Debt Service Fund*,JOB,Judgment Obligation Bonds Debt Service Fund,,,,,,,,10761715,2011,
,Liability Claims,59,Liability Claims,,,,,,,,48850000,2011,
46,Mayor,46LVL5,Mayor,,,,,,,,24155157,2011,
47,Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,,,,,,,,300545,2011,
,Non-Departmental General,62OTHER,Non-Departmental General,,,,,,,,610312165,2011,
66,Personnel,66LVL5,Personnel,,,,,,,,41012465,2011,
70,Police,70LVL5,Police,,,,,,,,1177483228,2011,
,Proposition A Local Transit Assistance Fund*,S26,Proposition A Local Transit Assistance Fund,,,,,,,,104138478,2011,
,Proposition C Anti-Gridlock Transit Improvement Fund*,S27,Proposition C Anti-Gridlock Transit Improvement Fund,,,,,,,,27419749,2011,
74,Public Works - Board of Public Works,74LVL5,Board of Public Works,,,,,,,,16147341,2011,
76,Public Works - Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,,,,,,,,29379072,2011,
78,Public Works - Bureau of Engineering,78LVL5,Bureau of Engineering,,,,,,,,71141561,2011,
82,Public Works - Bureau of Sanitation,82LVL5,Bureau of Sanitation,,,,,,,,213415485,2011,
84,Public Works - Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,,,,,,,,22591379,2011,
86,Public Works - Bureau of Street Services,86LVL5,Bureau of Street Services,,,,,,,,144528312,2011,
,Reserve Funds*,58,Reserve Funds,,,,,,,,99079406,2011,
,Special Parking Revenue Fund*,S11,Special Parking Revenue Fund,,,,,,,,43154495,2011,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,Debt Service/ Financing,,,,,,742900328,2011,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,,,,,,,742900328,2011,
94,Transportation,94LVL5,Transportation,,,,,,,,126928623,2011,
,Treasurer*,Archived,Treasurer,,,,,,,,8542533,2011,
,Wastewater Special Purpose Fund*,S14,Wastewater Special Purpose Fund,,,,,,,,409579230,2011,
,Water and Electricity*,60,Water and Electricity,,,,,,,,50428994,2011,
87,Zoo,87LVL5,Zoo,,,,,,,,17483062,2011,
2,Aging,02LVL5,Aging,,,,,,,,3792602,2012,
6,Animal Services,06LVL5,Animal Services,,,,,,,,19919848,2012,
8,Building and Safety,08LVL5,Building and Safety,,,,,,,,68943603,2012,
,Capital Finance Administration*,53,Capital Finance Administration,,,,,,,,202097658,2012,
54,Capital Improvement Expenditure Program*,54M,Capital Improvement Expenditure Program,,,,,,,,150180271,2012,
10,City Administrative Officer,10LVL5,City Administrative Officer,,,,,,,,11580492,2012,
12,City Attorney,12LVL5,City Attorney,,,,,,,,94950894,2012,
14,City Clerk,14LVL5,City Clerk,,,,,,,,8603838,2012,
68,City Planning,68LVL5,City Planning,,,,,,,,25393267,2012,
26,Controller,26LVL5,Controller,,,,,,,,13791344,2012,
48,Convention and Tourism Development,48LVL5,Convention and Tourism Development,,,,,,,,24264518,2012,
28,Council,28LVL5,Council,,,,,,,,18881782,2012,
30,Cultural Affairs,30LVL5,Cultural Affairs,,,,,,,,7421341,2012,
,Debt Service*,S36,Bond Redemption and Interest,,,,,,,,167395099,2012,
65,Disability,65LVL5,Disability,,,,,,,,1608668,2012,
22,Economic and Workforce Development,22LVL5,Economic and Workforce Development,,,,,,,,26619693,2012,
33,El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,,,,,,,,1517194,2012,
35,Emergency Management,35LVL5,Emergency Management,,,,,,,,1600598,2012,
36,Employee Relations Board,36LVL5,Employee Relations Board,,,,,,,,421616,2012,
17,Ethics Commission,17LVL5,City Ethics Commission,,,,,,,,2031383,2012,
39,Finance,39LVL5,Finance,,,,,,,,37644214,2012,
38,Fire,38LVL5,Fire,,,,,,,,472597193,2012,
,General City Purposes*,56,General City Purposes,,,,,,,,82252655,2012,
40,General Services,40LVL5,General Services,,,,,,,,228012024,2012,
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,,,,,,,,52146171,2012,
,Human Resources Benefits,61,Human Resources Benefits,,,,,,,,553488000,2012,
32,Information Technology Agency,32LVL5,Information Technology Agency,,,,,,,,78379548,2012,
,Judgment Obligation Bonds Debt Service Fund*,JOB,Judgment Obligation Bonds Debt Service Fund,,,,,,,,9031375,2012,
,Liability Claims,59,Liability Claims,,,,,,,,47850000,2012,
46,Mayor,46LVL5,Mayor,,,,,,,,22752477,2012,
47,Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,,,,,,,,1832164,2012,
,Non-Departmental General,62OTHER,Non-Departmental General,,,,,,,,650221210,2012,
66,Personnel,66LVL5,Personnel,,,,,,,,41267436,2012,
70,Police,70LVL5,Police,,,,,,,,1167771840,2012,
,Proposition A Local Transit Assistance Fund*,S26,Proposition A Local Transit Assistance Fund,,,,,,,,139475001,2012,
,Proposition C Anti-Gridlock Transit Improvement Fund*,S27,Proposition C Anti-Gridlock Transit Improvement Fund,,,,,,,,29350904,2012,
74,Public Works - Board of Public Works,74LVL5,Board of Public Works,,,,,,,,15212179,2012,
76,Public Works - Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,,,,,,,,28486926,2012,
78,Public Works - Bureau of Engineering,78LVL5,Bureau of Engineering,,,,,,,,71567612,2012,
82,Public Works - Bureau of Sanitation,82LVL5,Bureau of Sanitation,,,,,,,,221352636,2012,
84,Public Works - Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,,,,,,,,23908283,2012,
86,Public Works - Bureau of Street Services,86LVL5,Bureau of Street Services,,,,,,,,146019376,2012,
,Reserve Funds*,58,Reserve Funds,,,,,,,,21679000,2012,
,Special Parking Revenue Fund*,S11,Special Parking Revenue Fund,,,,,,,,48805771,2012,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,Debt Service/ Financing,,,,,,895475151,2012,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,,,,,,,895475151,2012,
94,Transportation,94LVL5,Transportation,,,,,,,,127917673,2012,
,Wastewater Special Purpose Fund*,S14,Wastewater Special Purpose Fund,,,,,,,,433598197,2012,
,Water and Electricity*,60,Water and Electricity,,,,,,,,34678000,2012,
87,Zoo,87LVL5,Zoo,,,,,,,,18283477,2012,
2,Aging,02LVL5,Aging,,,,,,,,4002785,2013,
6,Animal Services,06LVL5,Animal Services,,,,,,,,20170629,2013,
8,Building and Safety,08LVL5,Building and Safety,,,,,,,,71746337,2013,
,Capital Finance Administration*,53,Capital Finance Administration,,,,,,,,211053095,2013,
54,Capital Improvement Expenditure Program*,54M,Capital Improvement Expenditure Program,,,,,,,,174106201,2013,
10,City Administrative Officer,10LVL5,City Administrative Officer,,,,,,,,13330777,2013,
12,City Attorney,12LVL5,City Attorney,,,,,,,,98524651,2013,
14,City Clerk,14LVL5,City Clerk,,,,,,,,25536188,2013,
68,City Planning,68LVL5,City Planning,,,,,,,,29050383,2013,
26,Controller,26LVL5,Controller,,,,,,,,16368927,2013,
48,Convention and Tourism Development,48LVL5,Convention and Tourism Development,,,,,,,,22960543,2013,
28,Council,28LVL5,Council,,,,,,,,17980543,2013,
30,Cultural Affairs,30LVL5,Cultural Affairs,,,,,,,,8065060,2013,
,Debt Service*,S36,Bond Redemption and Interest,,,,,,,,164475921,2013,
65,Disability,65LVL5,Disability,,,,,,,,2023116,2013,
22,Economic and Workforce Development,22LVL5,Economic and Workforce Development,,,,,,,,26139063,2013,
33,El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,,,,,,,,1696571,2013,
35,Emergency Management,35LVL5,Emergency Management,,,,,,,,1789893,2013,
36,Employee Relations Board,36LVL5,Employee Relations Board,,,,,,,,400284,2013,
17,Ethics Commission,17LVL5,City Ethics Commission,,,,,,,,2269501,2013,
39,Finance,39LVL5,Finance,,,,,,,,36376470,2013,
38,Fire,38LVL5,Fire,,,,,,,,513444773,2013,
,General City Purposes*,56,General City Purposes,,,,,,,,94753670,2013,
40,General Services,40LVL5,General Services,,,,,,,,215222756,2013,
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,,,,,,,,50477474,2013,
,Human Resources Benefits,61,Human Resources Benefits,,,,,,,,592508153,2013,
32,Information Technology Agency,32LVL5,Information Technology Agency,,,,,,,,81475154,2013,
,Judgment Obligation Bonds Debt Service Fund*,JOB,Judgment Obligation Bonds Debt Service Fund,,,,,,,,9030425,2013,
,Liability Claims,59,Liability Claims,,,,,,,,47910000,2013,
46,Mayor,46LVL5,Mayor,,,,,,,,6151401,2013,
47,Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,,,,,,,,2295924,2013,
,Non-Departmental General,62OTHER,Non-Departmental General,,,,,,,,744643720,2013,
66,Personnel,66LVL5,Personnel,,,,,,,,50054862,2013,
70,Police,70LVL5,Police,,,,,,,,1256645232,2013,
,Proposition A Local Transit Assistance Fund*,S26,Proposition A Local Transit Assistance Fund,,,,,,,,185720487,2013,
,Proposition C Anti-Gridlock Transit Improvement Fund*,S27,Proposition C Anti-Gridlock Transit Improvement Fund,,,,,,,,26311952,2013,
74,Public Works - Board of Public Works,74LVL5,Board of Public Works,,,,,,,,13331856,2013,
76,Public Works - Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,,,,,,,,29850334,2013,
78,Public Works - Bureau of Engineering,78LVL5,Bureau of Engineering,,,,,,,,71800423,2013,
82,Public Works - Bureau of Sanitation,82LVL5,Bureau of Sanitation,,,,,,,,221247494,2013,
84,Public Works - Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,,,,,,,,25018468,2013,
86,Public Works - Bureau of Street Services,86LVL5,Bureau of Street Services,,,,,,,,166839759,2013,
,Reserve Funds*,58,Reserve Funds,,,,,,,,27482000,2013,
,Special Parking Revenue Fund*,S11,Special Parking Revenue Fund,,,,,,,,47514510,2013,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,Debt Service/ Financing,,,,,,860620300,2013,
,Tax and Revenue Anticipation Notes*,TRAN,Tax and Revenue Anticipation Notes,,,,,,,,860620300,2013,
94,Transportation,94LVL5,Transportation,,,,,,,,131153760,2013,
,Wastewater Special Purpose Fund*,S14,Wastewater Special Purpose Fund,,,,,,,,448973671,2013,
,Water and Electricity*,60,Water and Electricity,,,,,,,,35478000,2013,
87,Zoo,87LVL5,Zoo,,,,,,,,17561531,2013,
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),2120,Printing and Binding,619,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,385,Proposition A Local Transit Assistance Fund (Sch. 26),3040,Contractual Services,1299,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),3040,Contractual Services,2323,2014,Expenses
2,Aging,02LVL5,Aging,202,Family Caregiver Services,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,2373,2014,Expenses
2,Aging,02LVL5,Aging,203,Older Workers Program,A Prosperous City,410,Other Programs for the Aging (Sch. 21),6010,Office and Administrative ,2557,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2120,Printing and Binding,4185,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),6010,Office and Administrative ,4303,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,1090,Overtime General,4635,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,3310,Transportation,6000,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,385,Proposition A Local Transit Assistance Fund (Sch. 26),6010,Office and Administrative ,8093,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,2130,Travel,8556,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,9952,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,11903,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,7300,"Furniture, Office, and Technical Equipment",14585,2014,Equipment
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,42J,Senior Human Services Program Fund (Sch. 29),1010,Salaries General,16988,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative ,31401,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),1070,"Salaries, As-Needed",44038,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,47Y,HICAP Fund (Sch. 29),1010,Salaries General,57482,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",62262,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,395,Area Plan for the Aging Title 7 Fund (Sch. 21),6010,Office and Administrative ,63044,2014,Expenses
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,53M,LACMTA Grant Projects (Sch. 29) ,1010,Salaries General,117921,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,424,Community Development Trust Fund (Sch. 8),1010,Salaries General,270266,2014,Salaries
2,Aging,02LVL5,Aging,203,Older Workers Program,A Prosperous City,410,Other Programs for the Aging (Sch. 21),1010,Salaries General,286041,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,385,Proposition A Local Transit Assistance Fund (Sch. 26),1010,Salaries General,298569,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,100,General Fund,1010,Salaries General,474184,2014,Salaries
2,Aging,02LVL5,Aging,202,Family Caregiver Services,A Livable and Sustainable City,395,Area Plan for the Aging Title 7 Fund (Sch. 21),1010,Salaries General,648706,2014,Salaries
2,Aging,02LVL5,Aging,201,Senior Services,A Livable and Sustainable City,395,Area Plan for the Aging Title 7 Fund (Sch. 21),1010,Salaries General,1047736,2014,Salaries
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,593,Audit Repayment Fund 593 (Sch. 29),22_299,Reimbursement of General Fund Costs,490,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,816,Industrial Development Authority Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,13422,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,573,Warner Center Transportation Trust Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,17393,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,517,Federal Emergency Shelter Grant Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,34604,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,240,Housing Production Revolving Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,40614,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,50T,Neighborhood Stabilization Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,45305,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,45C,Traffic Safety Education Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,46906,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,829,Allocations from Other Governmental Agencies and Sources,A Well Run City,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),08_299,Reimbursement of General Fund Costs,151474,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,54R,Workforce Innovation Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,189205,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,48L,Enterprise Zone Tax Credit Voucher Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,238424,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,49C,Permit Parking Program Revenue Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,350467,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,55J,Low and Moderate Income Housing Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,409906,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,52J,ARRA Neighborhood Stabilization Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,685725,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,6829,Allocations from Other Governmental Agencies and Sources,A Well Run City,52F,Planning Long-Range Planning Fund (Sch. 29),68299_,Reimbursement of General Fund Costs,1386684,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,6829,Allocations from Other Governmental Agencies and Sources,A Well Run City,588,City Planning System Development Fund (Sch. 29),68_299,Reimbursement of General Fund Costs,1583407,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,550,City Attorney Consumer Protection Fund (Sch. 29),12_299,Reimbursement of General Fund Costs,1775001,2014,Other
,Allocations from Other Governmental Agencies and Sources*,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,46360899,2014,Other
6,Animal Services,06LVL5,Animal Services,601,Animal Control and Law Enforcement,A Livable and Sustainable City,100,General Fund,3310,Transportation,160,2014,Expenses
6,Animal Services,06LVL5,Animal Services,607,Animal Medical Services,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative ,302,2014,Expenses
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,3190,Medical Supplies,421,2014,Expenses
6,Animal Services,06LVL5,Animal Services,607,Animal Medical Services,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,2410,2014,Expenses
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,1090,Overtime General,2532,2014,Salaries
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Well Run City,100,General Fund,3310,Transportation,6224,2014,Expenses
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Well Run City,100,General Fund,1090,Overtime General,7322,2014,Salaries
6,Animal Services,06LVL5,Animal Services,601,Animal Control and Law Enforcement,A Livable and Sustainable City,100,General Fund,1090,Overtime General,10389,2014,Salaries
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,4430,Uniforms,20105,2014,Expenses
6,Animal Services,06LVL5,Animal Services,601,Animal Control and Law Enforcement,A Livable and Sustainable City,100,General Fund,4430,Uniforms,28408,2014,Expenses
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Well Run City,100,General Fund,6020,Operating Supplies ,30600,2014,Expenses
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Well Run City,100,General Fund,3040,Contractual Services,34748,2014,Expenses
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,4460,Private Veterinary Care Expense,43819,2014,Expenses
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,49598,2014,Expenses
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Well Run City,100,General Fund,2120,Printing and Binding,56392,2014,Expenses
6,Animal Services,06LVL5,Animal Services,602,Shelter Operations and Animal Care,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative ,65006,2014,Expenses
