Dept_Code,Department_Name,SubDept_Code,SubDepartment_Name,Prog_Code,Program_Name,Program_Priority,Source_Fund_Code,Source_Fund_Name,Account_Code,Account_Name,Appropriation,Fiscal_Year,Expense_Type
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A68,GOB Series 2009 Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,3290462,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A69,GOB Series 2011A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,5850000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A69,GOB Series 2011A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,585000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A70,GOB Refunding Series 2011B Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,32900000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A70,GOB Refunding Series 2011B Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,8802750,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A71,GOB Refunding Series 2012A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,22905000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A71,GOB Refunding Series 2012A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,8655275,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A72,GOB Refunding Series 2016A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,3570000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A72,GOB Refunding Series 2016A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,4361322,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Livable and Sustainable City,A73,GOB Series 2017A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,2023095,2018,
16A,Appropriations to City Employees' Retirement,16ASF,Assistance from Special Fund,16A1,CERS Appropriation - Special Fund,A Livable and Sustainable City,800,City Employees Retirement Fund (Sch. 12),SEC4PEN,Civilian Pensions - Special Fund Appropriation,102213802,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,1010,Salaries General,13288877,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",480890,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,1090,Overtime General,369005,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,3568,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,2130,Travel,NA,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,5732760,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,3170,Custodial Supplies,697364,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,3310,Transportation,1661,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,4430,Uniforms,12524,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative,51405,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,100,General Fund,6020,Operating Supplies,36444,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),1010,Salaries General,558146,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),1090,Overtime General,13662,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),3170,Custodial Supplies,61954,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,737,El Pueblo de Los Angeles Historical Monument Fund (Sch. 43),4430,Uniforms,2500,2018,
40,General Services,40LVL5,General Services,4001,Custodial Services,A Livable and Sustainable City,760,Sewer Operations & Maintenance Fund (Sch. 14),3040,Contractual Services,103614,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),1010,Salaries General,649193,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),1070,"Salaries, As-Needed",424796,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),1090,Overtime General,43000,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),3090,Field Equipment Expense,2000,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),3160,Maintenance Materials Supplies & Services,10000,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),4430,Uniforms,350,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),6010,Office and Administrative,NA,2018,
87,Zoo,87LVL5,Zoo,8705,Custodial Services,A Livable and Sustainable City,40E,Zoo Enterprise Trust Fund (Sch. 44),6020,Operating Supplies,118000,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,1010,Salaries General,2291290,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",NA,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,1090,Overtime General,NA,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,68000,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,42950,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,3310,Transportation,7500,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative,54000,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,100,General Fund,6020,Operating Supplies,35527,2018,
6,Animal Services,06LVL5,Animal Services,650,General Administration and Support,A Livable and Sustainable City,842,Animal Sterilization Fund (Sch. 29),1010,Salaries General,187314,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,1010,Salaries General,374440,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",152905,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,1090,Overtime General,8365,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,31206,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,11664,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,3310,Transportation,260,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative,40443,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,100,General Fund,6020,Operating Supplies,13629,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,346,Repair & Demolition Fund (Sch. 29),1010,Salaries General,26526,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),1010,Salaries General,45368,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,48R,Building and Safety Building Permit Fund (Sch. 40),1010,Salaries General,9854413,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,48R,Building and Safety Building Permit Fund (Sch. 40),1070,"Salaries, As-Needed",2087415,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,48R,Building and Safety Building Permit Fund (Sch. 40),1090,Overtime General,519750,2018,
8,Building and Safety,08LVL5,Building and Safety,850,General Administration and Support,A Livable and Sustainable City,48R,Building and Safety Building Permit Fund (Sch. 40),3310,Transportation,17708,2018,
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,A Livable and Sustainable City,100,General Fund,1010,Salaries General,1512302,2018,
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,A Livable and Sustainable City,100,General Fund,1070,"Salaries, As-Needed",NA,2018,
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,A Livable and Sustainable City,100,General Fund,1090,Overtime General,NA,2018,
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,35000,2018,
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative,20673,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,1010,Salaries General,5215044,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,1090,Overtime General,274,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,2060,Bar Dues,2546,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,2120,Printing and Binding,11462,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,2130,Travel,NA,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,3040,Contractual Services,271266,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,3310,Transportation,1451,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,4200,Litigation,224275,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,4620,Contingent Expense,5000,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,6010,Office and Administrative,657698,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,6020,Operating Supplies,6680,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,100,General Fund,9301,City Attorney Outside Counsel,NA,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,342,Telecommunications Development Account (Sch. 20),1010,Salaries General,6535,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,760,Sewer Operations & Maintenance Fund (Sch. 14),1010,Salaries General,4052,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,760,Sewer Operations & Maintenance Fund (Sch. 14),1080,Salaries Proprietary,NA,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,761,Sewer Capital Fund (Sch. 14),1010,Salaries General,4052,2018,
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,A Livable and Sustainable City,761,Sewer Capital Fund (Sch. 14),1080,Salaries Proprietary,NA,2018,
14,City Clerk,14LVL5,City Clerk,1450,General Administration and Support,A Livable and Sustainable City,100,General Fund,1010,Salaries General,981954,2018,
14,City Clerk,14LVL5,City Clerk,1450,General Administration and Support,A Livable and Sustainable City,100,General Fund,1090,Overtime General,41325,2018,
