"dept_code","dept_name","prog_code","prog_name","fund_code","fund_name","account_code","account_name","new_key","budget_year","revenue_amount"
"06","Animal Services","0650","General Administration and Support","100","General Fund","4183","Animal Regulation Permits","0606501004183","2014_15_actuals",NA
"06","Animal Services","0650","General Administration and Support","100","General Fund","4184","Miscellaneous-Animal Reg","0606501004184","2014_15_actuals",NA
"06","Animal Services","0650","General Administration and Support","100","General Fund","4332","Bad Check Collection Fees","0606501004332","2014_15_actuals",NA
"06","Animal Services","0650","General Administration and Support","100","General Fund","4815","Fines And Penalties-Others","0606501004815","2014_15_actuals",NA
"06","Animal Services","0650","General Administration and Support","100","General Fund","5361","Related Cost Reimb-Others","0606501005361","2014_15_actuals",NA
"08","Building and Safety","0804","Conservation of Existing Structures and Mechanical Devices","100","General Fund","4225","Miscellaneous Adm Services","0808041004225","2014_15_actuals",NA
"08","Building and Safety","0804","Conservation of Existing Structures and Mechanical Devices","100","General Fund","4350","Subpoena Fees","0808041004350","2014_15_actuals",NA
"08","Building and Safety","0811","Structural Plan Checking","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808111005331","2014_15_actuals",NA
"08","Building and Safety","0811","Structural Plan Checking","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808111005359","2014_15_actuals",NA
"08","Building and Safety","0812","Green Buildings and Electrical and Mechanical Engineering","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808121005331","2014_15_actuals",NA
"08","Building and Safety","0812","Green Buildings and Electrical and Mechanical Engineering","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808121005359","2014_15_actuals",NA
"08","Building and Safety","0813","Grading Reports and Inspection","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808131005331","2014_15_actuals",NA
"08","Building and Safety","0813","Grading Reports and Inspection","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808131005359","2014_15_actuals",NA
"08","Building and Safety","0814","Residential Inspection","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808141005331","2014_15_actuals",NA
"08","Building and Safety","0814","Residential Inspection","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808141005359","2014_15_actuals",NA
"08","Building and Safety","0815","Commercial Inspection and Licensing","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808151005331","2014_15_actuals",NA
"08","Building and Safety","0815","Commercial Inspection and Licensing","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808151005359","2014_15_actuals",NA
"08","Building and Safety","0816","Development Services Case Management","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808161005331","2014_15_actuals",NA
"08","Building and Safety","0816","Development Services Case Management","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808161005359","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4223","Investigation Fees","0808171004223","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4224","Non-Compliance Fee","0808171004224","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4350","Subpoena Fees","0808171004350","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4675","Code Violation Inspection Fee.","0808171004675","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4813","Repeat Violation Fee","0808171004813","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5168","Reimb Of Prior Year Salary","0808171005168","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808171005331","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808171005359","2014_15_actuals",NA
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5361","Related Cost Reimb-Others","0808171005361","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","3284","Local Enforcement Agency Fees","0808181003284","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","4002","Annual Inspection Monitrng Fee","0808181004002","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808181005331","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5334","Community Dev Tr Related Cost","0808181005334","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808181005359","2014_15_actuals",NA
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5361","Related Cost Reimb-Others","0808181005361","2014_15_actuals",NA
"08","Building and Safety","0848","Development Services Systems","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808481005331","2014_15_actuals",NA
"08","Building and Safety","0848","Development Services Systems","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808481005359","2014_15_actuals",NA
"08","Building and Safety","0849","Technology Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808491005331","2014_15_actuals",NA
"08","Building and Safety","0849","Technology Support","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808491005359","2014_15_actuals",NA
"08","Building and Safety","0850","General Administration and Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808501005331","2014_15_actuals",NA
"08","Building and Safety","0850","General Administration and Support","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808501005359","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5104","Contribution Fr La Marathon","1010011005104","2014_15_actuals",434622
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5188","Miscellaneous Revenue-Others","1010011005188","2014_15_actuals",30301
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5317","Seismic Bond Fund","1010011005317","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5319","Reimb Prop F Animal Bond Fund","1010011005319","2014_15_actuals",4774
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5320","Reimb Prop F Fire Bond Fund","1010011005320","2014_15_actuals",4774
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5321","Reimb Prop Q Police/Fire Fund","1010011005321","2014_15_actuals",7587
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5322","Proposition K Funds","1010011005322","2014_15_actuals",97000
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5328","Sewer Cons & Main Related Cost","1010011005328","2014_15_actuals",427986
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5329","Rent Control Related Cost","1010011005329","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1010011005331","2014_15_actuals",226651
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5340","Prop C Antigridlock Rel Cost","1010011005340","2014_15_actuals",11262
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1010011005341","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1010011005345","2014_15_actuals",49872
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5351","Code Enforcement Rel Cost","1010011005351","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5357","Citywide Recycling Rel Cost","1010011005357","2014_15_actuals",33827
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1010011005359","2014_15_actuals",NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5361","Related Cost Reimb-Others","1010011005361","2014_15_actuals",17263
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5370","Cost Reimbursement From Library","1010011005370","2014_15_actuals",NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","4595","Service To Airports","1010021004595","2014_15_actuals",453225
"10","City Administrative Officer","1002","Management Services","100","General Fund","4596","Service To Water & Power","1010021004596","2014_15_actuals",442326
"10","City Administrative Officer","1002","Management Services","100","General Fund","4597","Service To Harbor","1010021004597","2014_15_actuals",335484
"10","City Administrative Officer","1002","Management Services","100","General Fund","5188","Miscellaneous Revenue-Others","1010021005188","2014_15_actuals",NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","5301","Reimb From Other Funds","1010021005301","2014_15_actuals",106749
"10","City Administrative Officer","1002","Management Services","100","General Fund","5329","Rent Control Related Cost","1010021005329","2014_15_actuals",15301
"10","City Administrative Officer","1002","Management Services","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1010021005341","2014_15_actuals",6885
"10","City Administrative Officer","1002","Management Services","100","General Fund","5351","Code Enforcement Rel Cost","1010021005351","2014_15_actuals",42076
"10","City Administrative Officer","1002","Management Services","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1010021005359","2014_15_actuals",76560
"10","City Administrative Officer","1002","Management Services","100","General Fund","5361","Related Cost Reimb-Others","1010021005361","2014_15_actuals",NA
"10","City Administrative Officer","1003","Employee Relations Compensation and Benefits","100","General Fund","5188","Miscellaneous Revenue-Others","1010031005188","2014_15_actuals",23224
"10","City Administrative Officer","1004","Risk Management","100","General Fund","4651","Miscellaneous Service Charges","1010041004651","2014_15_actuals",NA
"10","City Administrative Officer","1004","Risk Management","100","General Fund","5328","Sewer Cons & Main Related Cost","1010041005328","2014_15_actuals",NA
"10","City Administrative Officer","1005","Office of Public Accountability","100","General Fund","4596","Service To Water & Power","1010051004596","2014_15_actuals",1549283
"10","City Administrative Officer","1005","Office of Public Accountability","100","General Fund","5188","Miscellaneous Revenue-Others","1010051005188","2014_15_actuals",NA
"10","City Administrative Officer","1006","Debt Management","100","General Fund","4651","Miscellaneous Service Charges","1010061004651","2014_15_actuals",NA
"10","City Administrative Officer","1006","Debt Management","100","General Fund","5188","Miscellaneous Revenue-Others","1010061005188","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5188","Miscellaneous Revenue-Others","1010071005188","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5301","Reimb From Other Funds","1010071005301","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5317","Seismic Bond Fund","1010071005317","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5319","Reimb Prop F Animal Bond Fund","1010071005319","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5320","Reimb Prop F Fire Bond Fund","1010071005320","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5321","Reimb Prop Q Police/Fire Fund","1010071005321","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5322","Proposition K Funds","1010071005322","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1010071005331","2014_15_actuals",NA
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5361","Related Cost Reimb-Others","1010071005361","2014_15_actuals",NA
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4595","Service To Airports","1010081004595","2014_15_actuals",NA
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4596","Service To Water & Power","1010081004596","2014_15_actuals",NA
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4597","Service To Harbor","1010081004597","2014_15_actuals",NA
"10","City Administrative Officer","1050","General Administration and Support","100","General Fund","5188","Miscellaneous Revenue-Others","1010501005188","2014_15_actuals",7782
"11","Public Accountability","1101","Public Accountability and Ratepayer Advocate","100","General Fund","4596","Service To Water & Power","1111011004596","2014_15_actuals",NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","3291","Tobacco Retailer Permits","1212011003291","2014_15_actuals",1496018
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4651","Miscellaneous Service Charges","1212011004651","2014_15_actuals",NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4815","Fines And Penalties-Others","1212011004815","2014_15_actuals",1859
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4831","Forfeitures & Penalties","1212011004831","2014_15_actuals",92213
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5121","Damage Claims & Settlements","1212011005121","2014_15_actuals",150000
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5168","Reimb Of Prior Year Salary","1212011005168","2014_15_actuals",NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5301","Reimb From Other Funds","1212011005301","2014_15_actuals",2658238
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5328","Sewer Cons & Main Related Cost","1212011005328","2014_15_actuals",NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212011005331","2014_15_actuals",554551
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5334","Community Dev Tr Related Cost","1212011005334","2014_15_actuals",NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5361","Related Cost Reimb-Others","1212011005361","2014_15_actuals",2186538
"12","City Attorney","1202","Civil Liability Management","100","General Fund","4651","Miscellaneous Service Charges","1212021004651","2014_15_actuals",775741
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5121","Damage Claims & Settlements","1212021005121","2014_15_actuals",8912856
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5122","Attorney Fees","1212021005122","2014_15_actuals",288892
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5125","City Atty Subrogation Revenue","1212021005125","2014_15_actuals",1149676
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5161","Reimbursement Of Expenditures","1212021005161","2014_15_actuals",5290
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5301","Reimb From Other Funds","1212021005301","2014_15_actuals",NA
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5328","Sewer Cons & Main Related Cost","1212021005328","2014_15_actuals",NA
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212021005331","2014_15_actuals",NA
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212021005339","2014_15_actuals",6504
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212021005345","2014_15_actuals",28102
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5361","Related Cost Reimb-Others","1212021005361","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","4351","Ca Serv Rendered To Hsg Autho","1212031004351","2014_15_actuals",1260935
"12","City Attorney","1203","Municipal Law","100","General Fund","4599","Service To Pensions","1212031004599","2014_15_actuals",809494
"12","City Attorney","1203","Municipal Law","100","General Fund","4600","Service To Lacers","1212031004600","2014_15_actuals",784141
"12","City Attorney","1203","Municipal Law","100","General Fund","4651","Miscellaneous Service Charges","1212031004651","2014_15_actuals",258581
"12","City Attorney","1203","Municipal Law","100","General Fund","5121","Damage Claims & Settlements","1212031005121","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5328","Sewer Cons & Main Related Cost","1212031005328","2014_15_actuals",237302
"12","City Attorney","1203","Municipal Law","100","General Fund","5329","Rent Control Related Cost","1212031005329","2014_15_actuals",85165
"12","City Attorney","1203","Municipal Law","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212031005331","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5334","Community Dev Tr Related Cost","1212031005334","2014_15_actuals",39153
"12","City Attorney","1203","Municipal Law","100","General Fund","5338","Stormwtr Pollu Abate Rel Cost","1212031005338","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212031005339","2014_15_actuals",61786
"12","City Attorney","1203","Municipal Law","100","General Fund","5340","Prop C Antigridlock Rel Cost","1212031005340","2014_15_actuals",40206
"12","City Attorney","1203","Municipal Law","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1212031005341","2014_15_actuals",44624
"12","City Attorney","1203","Municipal Law","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212031005345","2014_15_actuals",63697
"12","City Attorney","1203","Municipal Law","100","General Fund","5351","Code Enforcement Rel Cost","1212031005351","2014_15_actuals",67664
"12","City Attorney","1203","Municipal Law","100","General Fund","5355","Work Invest Act Rel Cost","1212031005355","2014_15_actuals",61453
"12","City Attorney","1203","Municipal Law","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1212031005359","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5361","Related Cost Reimb-Others","1212031005361","2014_15_actuals",NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5372","Workforce Innov Opp Act (Wioa) Rel Cost","1212031005372","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4351","Ca Serv Rendered To Hsg Autho","1212041004351","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4595","Service To Airports","1212041004595","2014_15_actuals",6469210
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4596","Service To Water & Power","1212041004596","2014_15_actuals",8453175
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4597","Service To Harbor","1212041004597","2014_15_actuals",3499526
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4599","Service To Pensions","1212041004599","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4600","Service To Lacers","1212041004600","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5328","Sewer Cons & Main Related Cost","1212041005328","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212041005331","2014_15_actuals",NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212041005339","2014_15_actuals",9756
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212041005345","2014_15_actuals",1873
"12","City Attorney","1250","General Administration and Support","100","General Fund","4595","Service To Airports","1212501004595","2014_15_actuals",NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","4596","Service To Water & Power","1212501004596","2014_15_actuals",NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","4597","Service To Harbor","1212501004597","2014_15_actuals",NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","5328","Sewer Cons & Main Related Cost","1212501005328","2014_15_actuals",NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212501005331","2014_15_actuals",NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212501005339","2014_15_actuals",3252
"12","City Attorney","1250","General Administration and Support","100","General Fund","5346","Related Cost Reimb Fr Grants","1212501005346","2014_15_actuals",NA
"12","City Attorney","1299","City Attorney - Default Program","100","General Fund","5346","Related Cost Reimb Fr Grants","1212991005346","2014_15_actuals",26118
"13","Cannabis Regulation","1301","Regulations and Licensing","100","General Fund","3295","Licenses & Permits - Others","1313011003295","2014_15_actuals",NA
"14","City Clerk","1401","Council and Public Services","100","General Fund","4322","Council District Maps","1414011004322","2014_15_actuals",NA
"14","City Clerk","1401","Council and Public Services","100","General Fund","4328","Certified Copies","1414011004328","2014_15_actuals",220
"14","City Clerk","1401","Council and Public Services","100","General Fund","4330","Council Subscriber Service","1414011004330","2014_15_actuals",380
"14","City Clerk","1401","Council and Public Services","100","General Fund","4339","Miscellaneous Gov't Services","1414011004339","2014_15_actuals",2422
"14","City Clerk","1401","Council and Public Services","100","General Fund","4342","Photo Copies","1414011004342","2014_15_actuals",260
"14","City Clerk","1401","Council and Public Services","100","General Fund","5328","Sewer Cons & Main Related Cost","1414011005328","2014_15_actuals",43573
"14","City Clerk","1401","Council and Public Services","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1414011005345","2014_15_actuals",43572
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4322","Council District Maps","1414021004322","2014_15_actuals",1215
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4323","Election Filing Fees","1414021004323","2014_15_actuals",17700
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4339","Miscellaneous Gov't Services","1414021004339","2014_15_actuals",NA
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4341","Election Reimbursements","1414021004341","2014_15_actuals",5265623
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4342","Photo Copies","1414021004342","2014_15_actuals",3
"14","City Clerk","1402","Administration of City Elections","100","General Fund","5188","Miscellaneous Revenue-Others","1414021005188","2014_15_actuals",NA
"14","City Clerk","1405","Records Management","100","General Fund","4342","Photo Copies","1414051004342","2014_15_actuals",7379
"14","City Clerk","1405","Records Management","100","General Fund","5169","Jury Duty Reimbursement","1414051005169","2014_15_actuals",NA
"14","City Clerk","1405","Records Management","100","General Fund","5188","Miscellaneous Revenue-Others","1414051005188","2014_15_actuals",3105
"14","City Clerk","1407","Mayor and City Council Administrative Support","100","General Fund","4596","Service To Water & Power","1414071004596","2014_15_actuals",NA
"14","City Clerk","1449","Technology Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1414491005331","2014_15_actuals",113701
"14","City Clerk","1449","Technology Support","100","General Fund","5339","Telecom Liq Damages Rel Cost","1414491005339","2014_15_actuals",305514
"14","City Clerk","1450","General Administration and Support","100","General Fund","4332","Bad Check Collection Fees","1414501004332","2014_15_actuals",105
"14","City Clerk","1450","General Administration and Support","100","General Fund","4342","Photo Copies","1414501004342","2014_15_actuals",12
"14","City Clerk","1450","General Administration and Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1414501005331","2014_15_actuals",NA
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4325","Campaign Filing Fines","1717011004325","2014_15_actuals",NA
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4331","Legislative Advocate Fee","1717011004331","2014_15_actuals",312903
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4332","Bad Check Collection Fees","1717011004332","2014_15_actuals",NA
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4339","Miscellaneous Gov't Services","1717011004339","2014_15_actuals",NA
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4342","Photo Copies","1717011004342","2014_15_actuals",222
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4812","Fines For City Law Violations","1717011004812","2014_15_actuals",185690
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","4815","Fines And Penalties-Others","1717011004815","2014_15_actuals",14495
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","5188","Miscellaneous Revenue-Others","1717011005188","2014_15_actuals",40199
"17","Ethics Commission","1701","Governmental Ethics","100","General Fund","5301","Reimb From Other Funds","1717011005301","2014_15_actuals",250
"2","Aging","201","Senior Services","100","General Fund","5126","Fire Insurance Proceeds","22011005126","2014_15_actuals",NA
"2","Aging","201","Senior Services","100","General Fund","5169","Jury Duty Reimbursement","22011005169","2014_15_actuals",NA
"2","Aging","201","Senior Services","100","General Fund","5188","Miscellaneous Revenue-Others","22011005188","2014_15_actuals",2322
"2","Aging","201","Senior Services","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","22011005331","2014_15_actuals",NA
"2","Aging","201","Senior Services","100","General Fund","5337","Prop A Local Transit Rel Cost","22011005337","2014_15_actuals",63158
"2","Aging","201","Senior Services","100","General Fund","5346","Related Cost Reimb Fr Grants","22011005346","2014_15_actuals",NA
