"dept_code","dept_name","prog_code","prog_name","fund_code","fund_name","account_code","account_name","new_key","2014_15_actuals","2015_16_adopted_budget","2015_16_estimates","2016_17_adopted_budget","2016_17_estimates","2016_17_proposed_budget","2017_18_proposed"
"06","Animal Services","0650","General Administration and Support","100","General Fund","4332","Bad Check Collection Fees","0606501004332",NA,NA,NA,NA,1000,NA,1000
"06","Animal Services","0650","General Administration and Support","100","General Fund","4815","Fines And Penalties-Others","0606501004815",NA,NA,NA,NA,22000,NA,22000
"06","Animal Services","0650","General Administration and Support","100","General Fund","5361","Related Cost Reimb-Others","0606501005361",NA,NA,NA,NA,213177,NA,320031
"08","Building and Safety","0804","Conservation of Existing Structures and Mechanical Devices","100","General Fund","4225","Miscellaneous Adm Services","0808041004225",NA,NA,NA,NA,50000,NA,50000
"08","Building and Safety","0811","Structural Plan Checking","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808111005331",NA,NA,NA,NA,853065,NA,676640
"08","Building and Safety","0811","Structural Plan Checking","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808111005359",NA,NA,NA,NA,8946600,NA,7990287
"08","Building and Safety","0812","Green Buildings and Electrical and Mechanical Engineering","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808121005331",NA,NA,NA,NA,384263,NA,315148
"08","Building and Safety","0812","Green Buildings and Electrical and Mechanical Engineering","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808121005359",NA,NA,NA,NA,4030000,NA,3721504
"08","Building and Safety","0813","Grading Reports and Inspection","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808131005331",NA,NA,NA,NA,195974,NA,154484
"08","Building and Safety","0813","Grading Reports and Inspection","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808131005359",NA,NA,NA,NA,2055300,NA,1824267
"08","Building and Safety","0814","Residential Inspection","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808141005331",NA,NA,NA,NA,449588,NA,367672
"08","Building and Safety","0814","Residential Inspection","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808141005359",NA,NA,NA,NA,4715100,NA,4341754
"08","Building and Safety","0815","Commercial Inspection and Licensing","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808151005331",NA,NA,NA,NA,952974,NA,766242
"08","Building and Safety","0815","Commercial Inspection and Licensing","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808151005359",NA,NA,NA,NA,9994400,NA,9048362
"08","Building and Safety","0816","Development Services Case Management","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808161005331",NA,NA,NA,NA,115279,NA,92690
"08","Building and Safety","0816","Development Services Case Management","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808161005359",NA,NA,NA,NA,1209000,NA,1094560
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4223","Investigation Fees","0808171004223",NA,NA,NA,NA,1185000,NA,1250000
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4224","Non-Compliance Fee","0808171004224",NA,NA,NA,NA,1700000,NA,1200000
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4350","Subpoena Fees","0808171004350",NA,NA,NA,NA,35000,NA,35000
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4675","Code Violation Inspection Fee.","0808171004675",NA,NA,NA,NA,2400000,NA,2300000
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","4813","Repeat Violation Fee","0808171004813",NA,NA,NA,NA,5200,NA,0
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5168","Reimb Of Prior Year Salary","0808171005168",NA,NA,NA,NA,568,NA,0
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808171005331",NA,NA,NA,NA,130650,NA,108139
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808171005359",NA,NA,NA,NA,770200,NA,1276987
"08","Building and Safety","0817","Residential and Commercial Code Enforcement","100","General Fund","5361","Related Cost Reimb-Others","0808171005361",NA,NA,NA,NA,0,NA,393374
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","3284","Local Enforcement Agency Fees","0808181003284",NA,NA,NA,NA,1415695,NA,1700000
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","4002","Annual Inspection Monitrng Fee","0808181004002",NA,NA,NA,NA,2e+05,NA,230000
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808181005331",NA,NA,NA,NA,61482,NA,49435
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5334","Community Dev Tr Related Cost","0808181005334",NA,NA,NA,NA,555911,NA,560000
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808181005359",NA,NA,NA,NA,644800,NA,583765
"08","Building and Safety","0818","Conservation of Existing Structures and Mechanical Devices","100","General Fund","5361","Related Cost Reimb-Others","0808181005361",NA,NA,NA,NA,392878,NA,481748
"08","Building and Safety","0848","Development Services Systems","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808481005331",NA,NA,NA,NA,11528,NA,9269
"08","Building and Safety","0848","Development Services Systems","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808481005359",NA,NA,NA,NA,120901,NA,109456
"08","Building and Safety","0849","Technology Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808491005331",NA,NA,NA,NA,184446,NA,145215
"08","Building and Safety","0849","Technology Support","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808491005359",NA,NA,NA,NA,1934400,NA,1714811
"08","Building and Safety","0850","General Administration and Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0808501005331",NA,NA,NA,NA,503385,NA,404748
"08","Building and Safety","0850","General Administration and Support","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","0808501005359",NA,NA,NA,NA,5279300,NA,4779578
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5104","Contribution Fr La Marathon","1010011005104",434622,365000,436403,365000,450000,365000,450000
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5188","Miscellaneous Revenue-Others","1010011005188",30301,NA,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5317","Seismic Bond Fund","1010011005317",NA,30000,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5319","Reimb Prop F Animal Bond Fund","1010011005319",4774,3832,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5320","Reimb Prop F Fire Bond Fund","1010011005320",4774,3832,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5321","Reimb Prop Q Police/Fire Fund","1010011005321",7587,6814,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5322","Proposition K Funds","1010011005322",97000,97000,NA,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5328","Sewer Cons & Main Related Cost","1010011005328",427986,154132,154132,169431,169431,169431,258976
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5329","Rent Control Related Cost","1010011005329",NA,19320,19320,23579,23579,23579,23579
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1010011005331",226651,NA,23392,NA,NA,NA,NA
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5340","Prop C Antigridlock Rel Cost","1010011005340",11262,22336,22336,27255,27255,27255,33128
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1010011005341",NA,8482,8482,11806,10625,11806,10625
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1010011005345",49872,32217,32217,48772,48772,48772,75420
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5351","Code Enforcement Rel Cost","1010011005351",NA,51526,51526,69038,62134,69038,62134
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5357","Citywide Recycling Rel Cost","1010011005357",33827,21730,21730,33632,33632,33632,50101
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1010011005359",NA,120314,120314,50374,78764,50374,90210
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5361","Related Cost Reimb-Others","1010011005361",17263,44952,44952,31750,28575,31750,34443
"10","City Administrative Officer","1001","Budget Formulation and Control","100","General Fund","5370","Cost Reimbursement From Library","1010011005370",NA,25000,NA,NA,NA,NA,NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","4595","Service To Airports","1010021004595",453225,NA,NA,NA,NA,NA,NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","4596","Service To Water & Power","1010021004596",442326,NA,NA,NA,NA,NA,NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","4597","Service To Harbor","1010021004597",335484,NA,NA,NA,NA,NA,NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","5188","Miscellaneous Revenue-Others","1010021005188",NA,NA,NA,NA,393592,NA,0
"10","City Administrative Officer","1002","Management Services","100","General Fund","5301","Reimb From Other Funds","1010021005301",106749,NA,72775,NA,NA,NA,NA
"10","City Administrative Officer","1002","Management Services","100","General Fund","5329","Rent Control Related Cost","1010021005329",15301,NA,NA,2620,2620,2620,2620
"10","City Administrative Officer","1002","Management Services","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1010021005341",6885,NA,NA,NA,1181,NA,1181
"10","City Administrative Officer","1002","Management Services","100","General Fund","5351","Code Enforcement Rel Cost","1010021005351",42076,NA,NA,NA,6904,NA,6904
"10","City Administrative Officer","1002","Management Services","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1010021005359",76560,NA,NA,37142,8752,37142,121597
"10","City Administrative Officer","1002","Management Services","100","General Fund","5361","Related Cost Reimb-Others","1010021005361",NA,NA,NA,NA,3175,NA,60335
"10","City Administrative Officer","1003","Employee Relations Compensation and Benefits","100","General Fund","5188","Miscellaneous Revenue-Others","1010031005188",23224,NA,NA,NA,NA,NA,NA
"10","City Administrative Officer","1004","Risk Management","100","General Fund","4651","Miscellaneous Service Charges","1010041004651",NA,84000,84000,84000,NA,84000,NA
"10","City Administrative Officer","1004","Risk Management","100","General Fund","5328","Sewer Cons & Main Related Cost","1010041005328",NA,201285,201285,217936,217936,217936,343411
"10","City Administrative Officer","1005","Office of Public Accountability","100","General Fund","4596","Service To Water & Power","1010051004596",1549283,3194623,1920930,3581305,3422998,2831305,0
"10","City Administrative Officer","1005","Office of Public Accountability","100","General Fund","5188","Miscellaneous Revenue-Others","1010051005188",NA,NA,NA,NA,74,NA,0
"10","City Administrative Officer","1006","Debt Management","100","General Fund","4651","Miscellaneous Service Charges","1010061004651",NA,NA,NA,20000,20000,20000,20000
"10","City Administrative Officer","1006","Debt Management","100","General Fund","5188","Miscellaneous Revenue-Others","1010061005188",NA,NA,NA,NA,21517,NA,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5188","Miscellaneous Revenue-Others","1010071005188",NA,NA,NA,NA,3100,NA,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5301","Reimb From Other Funds","1010071005301",NA,NA,NA,NA,120702,NA,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5317","Seismic Bond Fund","1010071005317",NA,NA,30000,30000,30000,30000,30000
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5319","Reimb Prop F Animal Bond Fund","1010071005319",NA,NA,3832,4000,3000,4000,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5320","Reimb Prop F Fire Bond Fund","1010071005320",NA,NA,3832,4000,3000,4000,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5321","Reimb Prop Q Police/Fire Fund","1010071005321",NA,NA,6814,8000,7000,8000,0
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5322","Proposition K Funds","1010071005322",NA,NA,97000,112000,97000,97000,97000
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1010071005331",NA,NA,NA,NA,63366,NA,20000
"10","City Administrative Officer","1007","Asset Management and Capital Projects","100","General Fund","5361","Related Cost Reimb-Others","1010071005361",NA,NA,NA,98016,98016,98016,140225
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4595","Service To Airports","1010081004595",NA,418989,215931,328954,478670,328954,461356
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4596","Service To Water & Power","1010081004596",NA,204189,-62255,461480,381698,461480,433158
"10","City Administrative Officer","1008","Proprietary Analysis","100","General Fund","4597","Service To Harbor","1010081004597",NA,282489,209124,318312,267336,318312,411117
"10","City Administrative Officer","1050","General Administration and Support","100","General Fund","5188","Miscellaneous Revenue-Others","1010501005188",7782,NA,1777,NA,133,NA,0
"11","Public Accountability","1101","Public Accountability and Ratepayer Advocate","100","General Fund","4596","Service To Water & Power","1111011004596",NA,NA,NA,NA,0,NA,3454153
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","3291","Tobacco Retailer Permits","1212011003291",1496018,1560000,1500000,1500000,1450000,1500000,1450000
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4651","Miscellaneous Service Charges","1212011004651",NA,NA,NA,NA,24693,NA,0
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4815","Fines And Penalties-Others","1212011004815",1859,5000,5000,5000,1710,5000,2000
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","4831","Forfeitures & Penalties","1212011004831",92213,20000,20000,20000,15000,20000,10000
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5121","Damage Claims & Settlements","1212011005121",150000,150000,173543,287500,NA,287500,NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5168","Reimb Of Prior Year Salary","1212011005168",NA,NA,NA,NA,518,NA,0
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5301","Reimb From Other Funds","1212011005301",2658238,2177831,2177831,1727552,1727552,1727552,1103328
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5328","Sewer Cons & Main Related Cost","1212011005328",NA,NA,37111,NA,NA,NA,NA
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212011005331",554551,235690,477480,2360000,1690349,2360000,5e+05
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5334","Community Dev Tr Related Cost","1212011005334",NA,368077,294462,324930,324930,324930,0
"12","City Attorney","1201","Criminal and Special Litigation","100","General Fund","5361","Related Cost Reimb-Others","1212011005361",2186538,3333204,NA,1547299,1396730,1547299,2615536
"12","City Attorney","1202","Civil Liability Management","100","General Fund","4651","Miscellaneous Service Charges","1212021004651",775741,50000,149378,1e+05,75000,1e+05,75000
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5121","Damage Claims & Settlements","1212021005121",8912856,NA,NA,NA,0,NA,120000
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5122","Attorney Fees","1212021005122",288892,275000,275000,275000,275000,275000,1e+05
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5125","City Atty Subrogation Revenue","1212021005125",1149676,2e+06,1e+06,1200000,1200000,1200000,1200000
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5161","Reimbursement Of Expenditures","1212021005161",5290,75000,10000,75000,16395,75000,10000
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5328","Sewer Cons & Main Related Cost","1212021005328",NA,53877,290136,37714,39561,37714,36527
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212021005331",NA,70572,NA,NA,NA,NA,NA
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212021005339",6504,10115,NA,NA,8796,NA,8322
"12","City Attorney","1202","Civil Liability Management","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212021005345",28102,148726,148727,150034,150034,150034,121307
"12","City Attorney","1203","Municipal Law","100","General Fund","4351","Ca Serv Rendered To Hsg Autho","1212031004351",1260935,1275463,NA,1290405,NA,1290405,NA
"12","City Attorney","1203","Municipal Law","100","General Fund","4599","Service To Pensions","1212031004599",809494,673305,NA,NA,NA,NA,NA
"12","City Attorney","1203","Municipal Law","100","General Fund","4600","Service To Lacers","1212031004600",784141,642634,NA,NA,NA,NA,NA
"12","City Attorney","1203","Municipal Law","100","General Fund","4651","Miscellaneous Service Charges","1212031004651",258581,50000,NA,NA,25000,NA,25000
"12","City Attorney","1203","Municipal Law","100","General Fund","5121","Damage Claims & Settlements","1212031005121",NA,137500,NA,NA,3e+06,NA,0
"12","City Attorney","1203","Municipal Law","100","General Fund","5328","Sewer Cons & Main Related Cost","1212031005328",237302,269386,3373,281686,280227,281686,258735
"12","City Attorney","1203","Municipal Law","100","General Fund","5329","Rent Control Related Cost","1212031005329",85165,184656,184656,179752,179752,179752,208425
"12","City Attorney","1203","Municipal Law","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212031005331",NA,164446,NA,NA,NA,NA,NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5334","Community Dev Tr Related Cost","1212031005334",39153,NA,73615,NA,0,NA,58748
"12","City Attorney","1203","Municipal Law","100","General Fund","5338","Stormwtr Pollu Abate Rel Cost","1212031005338",NA,NA,NA,NA,0,NA,1504
"12","City Attorney","1203","Municipal Law","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212031005339",61786,82043,112388,109947,83560,109947,73902
"12","City Attorney","1203","Municipal Law","100","General Fund","5340","Prop C Antigridlock Rel Cost","1212031005340",40206,59918,59918,63403,63403,63403,77979
"12","City Attorney","1203","Municipal Law","100","General Fund","5341","Home Invest Prtnrship Rel Cost","1212031005341",44624,114863,114863,111636,111636,111636,138305
"12","City Attorney","1203","Municipal Law","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212031005345",63697,99152,99151,95924,95924,95924,150435
"12","City Attorney","1203","Municipal Law","100","General Fund","5351","Code Enforcement Rel Cost","1212031005351",67664,184656,184656,179752,179752,179752,208425
"12","City Attorney","1203","Municipal Law","100","General Fund","5355","Work Invest Act Rel Cost","1212031005355",61453,147198,147198,NA,NA,NA,NA
"12","City Attorney","1203","Municipal Law","100","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1212031005359",NA,241768,241768,207510,207510,207510,169927
"12","City Attorney","1203","Municipal Law","100","General Fund","5361","Related Cost Reimb-Others","1212031005361",NA,293852,181353,175880,326449,175880,520518
"12","City Attorney","1203","Municipal Law","100","General Fund","5372","Workforce Innov Opp Act (Wioa) Rel Cost","1212031005372",NA,NA,NA,143091,143091,143091,145430
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4351","Ca Serv Rendered To Hsg Autho","1212041004351",NA,NA,1275463,NA,1290405,NA,1220806
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4595","Service To Airports","1212041004595",6469210,6277662,6641191,6749131,6374420,6749131,8168763
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4596","Service To Water & Power","1212041004596",8453175,9760170,12675471,11066413,12061441,11066413,12157723
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4597","Service To Harbor","1212041004597",3499526,3474159,4362461,4886022,5215351,4886022,5248964
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4599","Service To Pensions","1212041004599",NA,NA,673305,764559,764559,764559,548199
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","4600","Service To Lacers","1212041004600",NA,NA,642634,774331,774331,774331,542611
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5328","Sewer Cons & Main Related Cost","1212041005328",NA,13132,6748,3464,3297,3464,3043
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212041005331",NA,6603,NA,NA,NA,NA,NA
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212041005339",9756,11239,NA,NA,13194,NA,10694
"12","City Attorney","1204","Proprietary and Outside Counsel","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1212041005345",1873,NA,NA,NA,NA,NA,NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","4595","Service To Airports","1212501004595",NA,49847,NA,NA,NA,NA,NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","4596","Service To Water & Power","1212501004596",NA,49847,NA,NA,NA,NA,NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","4597","Service To Harbor","1212501004597",NA,49847,NA,NA,NA,NA,NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","5328","Sewer Cons & Main Related Cost","1212501005328",NA,337,NA,6815,6594,6815,6087
"12","City Attorney","1250","General Administration and Support","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","1212501005331",NA,169,NA,NA,NA,NA,NA
"12","City Attorney","1250","General Administration and Support","100","General Fund","5339","Telecom Liq Damages Rel Cost","1212501005339",3252,8991,NA,NA,4398,NA,3679
"12","City Attorney","1250","General Administration and Support","100","General Fund","5346","Related Cost Reimb Fr Grants","1212501005346",NA,NA,NA,NA,1990,NA,0
"12","City Attorney","1299","City Attorney - Default Program","100","General Fund","5346","Related Cost Reimb Fr Grants","1212991005346",26118,NA,NA,NA,NA,NA,NA
"13","Cannabis Regulation","1301","Regulations and Licensing","100","General Fund","3295","Licenses & Permits - Others","1313011003295",NA,NA,NA,NA,0,NA,1318229
"14","City Clerk","1401","Council and Public Services","100","General Fund","4322","Council District Maps","1414011004322",NA,50,NA,NA,NA,NA,NA
"14","City Clerk","1401","Council and Public Services","100","General Fund","4328","Certified Copies","1414011004328",220,50,100,100,100,100,100
"14","City Clerk","1401","Council and Public Services","100","General Fund","4330","Council Subscriber Service","1414011004330",380,250,80,80,80,80,80
"14","City Clerk","1401","Council and Public Services","100","General Fund","4339","Miscellaneous Gov't Services","1414011004339",2422,NA,1292,NA,NA,NA,NA
"14","City Clerk","1401","Council and Public Services","100","General Fund","4342","Photo Copies","1414011004342",260,100,40,40,40,40,40
"14","City Clerk","1401","Council and Public Services","100","General Fund","5328","Sewer Cons & Main Related Cost","1414011005328",43573,45965,45965,46291,46291,46291,43760
"14","City Clerk","1401","Council and Public Services","100","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1414011005345",43572,45965,45965,46290,46290,46290,43760
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4322","Council District Maps","1414021004322",1215,NA,90,NA,135,NA,50
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4323","Election Filing Fees","1414021004323",17700,NA,NA,NA,21300,NA,0
"14","City Clerk","1402","Administration of City Elections","100","General Fund","4339","Miscellaneous Gov't Services","1414021004339",NA,NA,NA,NA,1177,NA,0
