Dept Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Account Code,Account Name,2014-15 Actuals,2015-16 Adopted Budget,2015-16 Estimates,2016-17 Proposed Budget,2016-17 Adopted Budget
8,Building and Safety,811,Structural Plan Checking,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,4019057,82383,82383,82383,82383
8,Building and Safety,811,Structural Plan Checking,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,9675174,7256381,8344838,8379757
8,Building and Safety,812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,4034939,3026204,3480135,3480135
8,Building and Safety,813,Grading Reports and Inspection,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,2299481,1724611,1983303,1983303
8,Building and Safety,814,Residential Inspection,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,4946053,3709540,4265971,4265971
8,Building and Safety,815,Commercial Inspection and Licensing,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,11931270,8948452,10290720,10290720
8,Building and Safety,816,Development Services Case Management,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,1455165,1091374,1255080,1255080
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,4222,Special Enforcement Fees,250,10000,10000,10000,10000
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,4223,Investigation Fees,1289563,1185000,1185000,1185000,1185000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5121,Damage Claims & Settlements,150000,150000,173543,287500,287500
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,4224,Non-Compliance Fee,1242383,2675000,2675000,2675000,2675000
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,4675,Code Violation Inspection Fee.,2103700,2200000,2200000,2650000,2650000
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,4813,Repeat Violation Fee,2200,,,,
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,5168,Reimb Of Prior Year Salary,22,,,,
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,5169,Jury Duty Reimbursement,280,,,,
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,1016787,762590,876979,876979
8,Building and Safety,817,Residential and Commercial Code Enforcement,100,General Fund,5361,Related Cost Reimb-Others,,866214,866214,866214,866214
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,3284,Local Enforcement Agency Fees,1363894,1415695,1415695,1415695,1415695
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,4002,Annual Inspection Monitrng Fee,214913,200000,200000,200000,200000
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,4671,Code Enforcement Misc Fees,,76184,76184,76184,76184
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5301,Reimb From Other Funds,,836040,836040,836040,836040
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5334,Community Dev Tr Related Cost,,404899,404899,555911,555911
8,Building and Safety,818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,1388366,1041274,1197465,1197465
8,Building and Safety,848,Development Services Systems,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,173546,130159,149683,149683
8,Building and Safety,849,Technology Support,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,1000000,2429641,1822231,2095566,2095566
8,Building and Safety,850,General Administration and Support,100,General Fund,5334,Community Dev Tr Related Cost,404899,,,,
8,Building and Safety,850,General Administration and Support,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,3000000,4425417,3617719,6293558,6293558
8,Building and Safety,899,Building and Safety - Default Program,100,General Fund,4350,Subpoena Fees,,35000,,,
8,Building and Safety,899,Building and Safety - Default Program,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,3000000,3000000,3000000,3000000
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5104,Contribution Fr La Marathon,434622,365000,436403,365000,365000
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5188,Miscellaneous Revenue-Others,30301,,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5317,Seismic Bond Fund,,30000,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5319,Reimb Prop F Animal Bond Fund,4774,3832,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5320,Reimb Prop F Fire Bond Fund,4774,3832,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5321,Reimb Prop Q Police/Fire Fund,7587,6814,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5322,Proposition K Funds,97000,97000,,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5328,Sewer Cons & Main Related Cost,427986,154132,154132,169431,169431
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5329,Rent Control Related Cost,,19320,19320,23579,23579
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,226651,,23392,,
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5340,Prop C Antigridlock Rel Cost,11262,22336,22336,27255,27255
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5341,Home Invest Prtnrship Rel Cost,,8482,8482,11806,11806
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,49872,32217,32217,48772,48772
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5351,Code Enforcement Rel Cost,,51526,51526,69038,69038
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5357,Citywide Recycling Rel Cost,33827,21730,21730,33632,33632
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,120314,120314,50374,50374
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5361,Related Cost Reimb-Others,17263,44952,44952,31750,31750
10,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,5370,Cost Reimbursement From Library,,25000,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,4595,Service To Airports,453225,,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,4596,Service To Water & Power,442326,,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,4597,Service To Harbor,335484,,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,5301,Reimb From Other Funds,106749,,72775,,
10,City Administrative Officer,1002,Management Services,100,General Fund,5329,Rent Control Related Cost,15301,,,2620,2620
10,City Administrative Officer,1002,Management Services,100,General Fund,5341,Home Invest Prtnrship Rel Cost,6885,,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,5351,Code Enforcement Rel Cost,42076,,,,
10,City Administrative Officer,1002,Management Services,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,76560,,,37142,37142
10,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,General Fund,5188,Miscellaneous Revenue-Others,23224,,,,
10,City Administrative Officer,1004,Risk Management,100,General Fund,4651,Miscellaneous Service Charges,,84000,84000,84000,84000
10,City Administrative Officer,1004,Risk Management,100,General Fund,5328,Sewer Cons & Main Related Cost,,201285,201285,217936,217936
10,City Administrative Officer,1005,Office of Public Accountability,100,General Fund,4596,Service To Water & Power,1549283,3194623,1920930,2831305,3581305
10,City Administrative Officer,1006,Debt Management,100,General Fund,4651,Miscellaneous Service Charges,,,,20000,20000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5317,Seismic Bond Fund,,,30000,30000,30000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5319,Reimb Prop F Animal Bond Fund,,,3832,4000,4000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5320,Reimb Prop F Fire Bond Fund,,,3832,4000,4000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5321,Reimb Prop Q Police/Fire Fund,,,6814,8000,8000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5322,Proposition K Funds,,,97000,97000,112000
10,City Administrative Officer,1007,Asset Management and Capital Projects,100,General Fund,5361,Related Cost Reimb-Others,,,,98016,98016
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4595,Service To Airports,,418989,215931,328954,328954
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4596,Service To Water & Power,,204189,-62255,461480,461480
10,City Administrative Officer,1008,Proprietary Analysis,100,General Fund,4597,Service To Harbor,,282489,209124,318312,318312
10,City Administrative Officer,1050,General Administration and Support,100,General Fund,5188,Miscellaneous Revenue-Others,7782,,1777,,
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,3291,Tobacco Retailer Permits,1496018,1560000,1500000,1500000,1500000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,4815,Fines And Penalties-Others,1859,5000,5000,5000,5000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,4831,Forfeitures & Penalties,92213,20000,20000,20000,20000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5301,Reimb From Other Funds,2658238,2177831,2177831,1727552,1727552
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5328,Sewer Cons & Main Related Cost,,,37111,,
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,554551,235690,477480,2360000,2360000
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5334,Community Dev Tr Related Cost,,368077,294462,324930,324930
12,City Attorney,1201,Criminal and Special Litigation,100,General Fund,5361,Related Cost Reimb-Others,2186538,3333204,,1547299,1547299
12,City Attorney,1202,Civil Liability Management,100,General Fund,4651,Miscellaneous Service Charges,775741,50000,149378,100000,100000
12,City Attorney,1202,Civil Liability Management,100,General Fund,5121,Damage Claims & Settlements,8912856,,,,
12,City Attorney,1202,Civil Liability Management,100,General Fund,5122,Attorney Fees,288892,275000,275000,275000,275000
12,City Attorney,1202,Civil Liability Management,100,General Fund,5125,City Atty Subrogation Revenue,1149676,2000000,1000000,1200000,1200000
12,City Attorney,1202,Civil Liability Management,100,General Fund,5161,Reimbursement Of Expenditures,5290,75000,10000,75000,75000
12,City Attorney,1202,Civil Liability Management,100,General Fund,5328,Sewer Cons & Main Related Cost,,53877,290136,37714,37714
12,City Attorney,1202,Civil Liability Management,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,70572,,,
12,City Attorney,1202,Civil Liability Management,100,General Fund,5339,Telecom Liq Damages Rel Cost,6504,10115,,,
12,City Attorney,1202,Civil Liability Management,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,28102,148726,148727,150034,150034
12,City Attorney,1203,Municipal Law,100,General Fund,4351,Ca Serv Rendered To Hsg Autho,1260935,1275463,,1290405,1290405
12,City Attorney,1203,Municipal Law,100,General Fund,4599,Service To Pensions,809494,673305,,,
12,City Attorney,1203,Municipal Law,100,General Fund,4600,Service To Lacers,784141,642634,,,
12,City Attorney,1203,Municipal Law,100,General Fund,4651,Miscellaneous Service Charges,258581,50000,,,
12,City Attorney,1203,Municipal Law,100,General Fund,5121,Damage Claims & Settlements,,137500,,,
12,City Attorney,1203,Municipal Law,100,General Fund,5328,Sewer Cons & Main Related Cost,237302,269386,3373,281686,281686
12,City Attorney,1203,Municipal Law,100,General Fund,5329,Rent Control Related Cost,85165,184656,184656,179752,179752
12,City Attorney,1203,Municipal Law,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,164446,,,
12,City Attorney,1203,Municipal Law,100,General Fund,5334,Community Dev Tr Related Cost,39153,,73615,,
12,City Attorney,1203,Municipal Law,100,General Fund,5339,Telecom Liq Damages Rel Cost,61786,82043,112388,109947,109947
12,City Attorney,1203,Municipal Law,100,General Fund,5340,Prop C Antigridlock Rel Cost,40206,59918,59918,63403,63403
12,City Attorney,1203,Municipal Law,100,General Fund,5341,Home Invest Prtnrship Rel Cost,44624,114863,114863,111636,111636
12,City Attorney,1203,Municipal Law,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,63697,99152,99151,95924,95924
12,City Attorney,1203,Municipal Law,100,General Fund,5351,Code Enforcement Rel Cost,67664,184656,184656,179752,179752
12,City Attorney,1203,Municipal Law,100,General Fund,5355,Work Invest Act Rel Cost,61453,147198,147198,,
12,City Attorney,1203,Municipal Law,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,,241768,241768,207510,207510
12,City Attorney,1203,Municipal Law,100,General Fund,5361,Related Cost Reimb-Others,,293852,181353,175880,175880
12,City Attorney,1203,Municipal Law,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,,143091,143091
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4351,Ca Serv Rendered To Hsg Autho,,,1275463,,
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4595,Service To Airports,6469210,6277662,6641191,6749131,6749131
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4596,Service To Water & Power,8453175,9760170,12675471,11066413,11066413
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4597,Service To Harbor,3499526,3474159,4362461,4886022,4886022
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4599,Service To Pensions,,,673305,764559,764559
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,4600,Service To Lacers,,,642634,774331,774331
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,5328,Sewer Cons & Main Related Cost,,13132,6748,3464,3464
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,6603,,,
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,5339,Telecom Liq Damages Rel Cost,9756,11239,,,
12,City Attorney,1204,Proprietary and Outside Counsel,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,1873,,,,
12,City Attorney,1250,General Administration and Support,100,General Fund,4595,Service To Airports,,49847,,,
12,City Attorney,1250,General Administration and Support,100,General Fund,4596,Service To Water & Power,,49847,,,
12,City Attorney,1250,General Administration and Support,100,General Fund,4597,Service To Harbor,,49847,,,
12,City Attorney,1250,General Administration and Support,100,General Fund,5328,Sewer Cons & Main Related Cost,,337,,6815,6815
12,City Attorney,1250,General Administration and Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,169,,,
12,City Attorney,1250,General Administration and Support,100,General Fund,5339,Telecom Liq Damages Rel Cost,3252,8991,,,
12,City Attorney,1299,City Attorney - Default Program,100,General Fund,5346,Related Cost Reimb Fr Grants,26118,,,,
14,City Clerk,1401,Council and Public Services,100,General Fund,4322,Council District Maps,,50,,,
14,City Clerk,1401,Council and Public Services,100,General Fund,4328,Certified Copies,220,50,100,100,100
14,City Clerk,1401,Council and Public Services,100,General Fund,4330,Council Subscriber Service,380,250,80,80,80
14,City Clerk,1401,Council and Public Services,100,General Fund,4339,Miscellaneous Gov'T Services,2422,,1292,,
14,City Clerk,1401,Council and Public Services,100,General Fund,4342,Photo Copies,260,100,40,40,40
14,City Clerk,1401,Council and Public Services,100,General Fund,5328,Sewer Cons & Main Related Cost,43573,45965,45965,46291,46291
14,City Clerk,1401,Council and Public Services,100,General Fund,5345,Sanit Equip Chg Acq Fd Rel Cost,43572,45965,45965,46290,46290
14,City Clerk,1402,Administration of City Elections,100,General Fund,4322,Council District Maps,1215,,90,,
14,City Clerk,1402,Administration of City Elections,100,General Fund,4323,Election Filing Fees,17700,,,,
14,City Clerk,1402,Administration of City Elections,100,General Fund,4341,Election Reimbursements,5265623,2100000,2018796,9180469,13280469
14,City Clerk,1402,Administration of City Elections,100,General Fund,4342,Photo Copies,3,,,,
14,City Clerk,1402,Administration of City Elections,100,General Fund,5188,Miscellaneous Revenue-Others,,100,,,
14,City Clerk,1405,Records Management,100,General Fund,4342,Photo Copies,7379,6000,6000,6000,6000
14,City Clerk,1405,Records Management,100,General Fund,5169,Jury Duty Reimbursement,,20,10,10,10
14,City Clerk,1405,Records Management,100,General Fund,5188,Miscellaneous Revenue-Others,3105,1000,1000,1000,1000
14,City Clerk,1449,Technology Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,113701,,,,
14,City Clerk,1449,Technology Support,100,General Fund,5339,Telecom Liq Damages Rel Cost,305514,211701,211701,358619,358619
14,City Clerk,1450,General Administration and Support,100,General Fund,4332,Bad Check Collection Fees,105,,35,,
14,City Clerk,1450,General Administration and Support,100,General Fund,4342,Photo Copies,12,,,,
14,City Clerk,1450,General Administration and Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,6392,,,
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4325,Campaign Filing Fines,,500,500,500,500
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4331,Legislative Advocate Fee,312903,260000,300000,300000,300000
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4332,Bad Check Collection Fees,,50,50,50,50
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4339,Miscellaneous Gov'T Services,,50,50,50,50
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4342,Photo Copies,222,50,50,50,50
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4812,Fines For City Law Violations,185690,100000,160000,180000,180000
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,4815,Fines And Penalties-Others,14495,10000,20000,15000,15000
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,5188,Miscellaneous Revenue-Others,40199,10000,5000,5000,5000
17,Ethics Commission,1701,Governmental Ethics,100,General Fund,5301,Reimb From Other Funds,250,,,,
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5301,Reimb From Other Funds,,,,112144,112144
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5334,Community Dev Tr Related Cost,280799,26592,24181,29651,29651
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5346,Related Cost Reimb Fr Grants,,,717012,109527,109527
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5355,Work Invest Act Rel Cost,,2181842,539995,,
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5361,Related Cost Reimb-Others,23015,186107,2418,2617,2617
22,Economic and Workforce Development,2202,Adult Workforce Development,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,1021272,2217349,2217349
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5301,Reimb From Other Funds,,,,416017,416017
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5334,Community Dev Tr Related Cost,22500,524976,798330,629692,629692
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5346,Related Cost Reimb Fr Grants,401841,,44517,25063,25063
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5355,Work Invest Act Rel Cost,,15658,3683,,
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5361,Related Cost Reimb-Others,,200206,223155,390954,390954
22,Economic and Workforce Development,2205,Economic Development,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,,31435,31435
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5301,Reimb From Other Funds,,,,152815,152815
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5334,Community Dev Tr Related Cost,110559,11290,,15894,15894
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5346,Related Cost Reimb Fr Grants,78716,,580028,110242,110242
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5355,Work Invest Act Rel Cost,183302,877624,,,
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5361,Related Cost Reimb-Others,11612,326116,,42573,42573
22,Economic and Workforce Development,2207,Youth Workforce Development,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,568057,1303908,1303908
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5301,Reimb From Other Funds,,,,57958,57958
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,77711,,52503,,
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5334,Community Dev Tr Related Cost,,59586,65906,59713,59713
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5346,Related Cost Reimb Fr Grants,8255,,42754,28377,28377
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5355,Work Invest Act Rel Cost,2430493,512905,32184,,
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5361,Related Cost Reimb-Others,91791,81651,50206,29581,29581
22,Economic and Workforce Development,2249,Technology Support,100,General Fund,5372,Workforce Innov Opp Act (Wioa) Rel Cost,,,296953,523675,523675
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5188,Miscellaneous Revenue-Others,,,,,467314
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5301,Reimb From Other Funds,,,,299893,299893
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5334,Community Dev Tr Related Cost,,296742,323845,284113,284113
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5346,Related Cost Reimb Fr Grants,13462,,250667,187917,187917
22,Economic and Workforce Development,2250,General Administration and Support,100,General Fund,5355,Work Invest Act Rel Cost,,1864572,20825,,
